Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
Russia,2021,Open-source contextually-based core,Unmanned,Sotoland,Spy,0.09,90,Reusable Rocket,High,"China, Japan",234
China,2020,Compatible actuating circuit,Unmanned,West Bradleyside,Research,1.17,100,Reusable Rocket,Low,"UK, Japan, India",90
France,2001,Virtual executive core,Unmanned,Callahanstad,Communication,3.06,95,Traditional Rocket,Medium,"USA, Russia, Japan",178
USA,2009,Polarized static customer loyalty,Unmanned,Stuartfurt,Communication,25.1,93,Traditional Rocket,High,"China, Japan",198
UK,2024,Persistent impactful software,Unmanned,Connieberg,Research,0.03,92,Traditional Rocket,Low,"China, Japan",205
USA,2003,Public-key full-range data-warehouse,Unmanned,South Jeffreyland,Weather,58.29,99,Traditional Rocket,High,"USA, Japan",86
USA,2005,Fundamental full-range structure,Unmanned,Lake Raymondville,Communication,18.24,98,Traditional Rocket,Low,"China, UK",41
Japan,2017,Persistent heuristic process improvement,Unmanned,Fischerfort,Navigation,0.64,99,Traditional Rocket,Low,"India, Germany, China",253
UK,2000,Ameliorated object-oriented framework,Unmanned,North Troystad,Navigation,0.2,90,Traditional Rocket,Medium,Germany,117
Japan,2023,Quality-focused incremental moderator,Unmanned,North Richardbury,Communication,0.74,93,Traditional Rocket,Low,China,157
Japan,2024,Progressive even-keeled matrices,Unmanned,Jennifermouth,Weather,0.45,97,Traditional Rocket,Low,France,135
China,2021,Cross-group bandwidth-monitored core,Unmanned,Nicolebury,Navigation,7.33,98,Traditional Rocket,Medium,"India, Russia",203
India,2008,Profit-focused secondary frame,Unmanned,Michaelburgh,Communication,1.07,99,Traditional Rocket,Low,"Japan, France",74
China,2023,Organic actuating attitude,Unmanned,North Brandi,Navigation,1.32,95,Traditional Rocket,Low,,179
UK,2024,Adaptive local structure,Unmanned,Richardshaven,Weather,0.24,95,Reusable Rocket,High,"Russia, USA",176
UK,2023,Integrated grid-enabled project,Unmanned,Lake Zoefurt,Weather,0.02,91,Traditional Rocket,High,Russia,328
USA,2023,Extended global collaboration,Unmanned,Hornstad,Spy,4.99,99,Traditional Rocket,High,"UK, India",244
UK,2021,Synchronized clear-thinking functionalities,Unmanned,Nicolemouth,Navigation,2.04,99,Reusable Rocket,Low,USA,346
Russia,2019,Cross-platform clear-thinking circuit,Unmanned,Bowmanmouth,Spy,0.18,94,Traditional Rocket,High,"Russia, China, France",71
India,2023,Multi-channeled methodical paradigm,Unmanned,Lake Margaret,Communication,0.56,95,Solar Propulsion,Low,Germany,7
Japan,2024,Re-contextualized uniform implementation,Unmanned,Annamouth,Research,0.32,92,Reusable Rocket,Low,"Japan, USA, China",339
China,2024,Secured hybrid forecast,Manned,Port William,Spy,6.27,94,Reusable Rocket,High,"Germany, China, UK",244
India,2012,Focused 4thgeneration access,Unmanned,South Jacqueline,Research,1.43,99,Traditional Rocket,Medium,"India, USA",74
Japan,2005,Front-line intangible monitoring,Unmanned,North Maryhaven,Research,2.14,98,Traditional Rocket,High,Germany,316
USA,2020,Customizable grid-enabled function,Unmanned,East Deannatown,Spy,14.63,92,Reusable Rocket,Medium,Japan,29
Germany,2011,Ameliorated global concept,Unmanned,Walkertown,Navigation,2.59,93,Traditional Rocket,High,"UK, India",188
Russia,2023,Vision-oriented systemic challenge,Unmanned,Jacquelinefurt,Spy,1.02,89,Reusable Rocket,Medium,"China, UK",37
UK,2019,Persevering full-range open architecture,Unmanned,South Donna,Communication,0.58,88,Traditional Rocket,High,"UK, Russia",307
China,2006,Automated dynamic frame,Unmanned,Greenbury,Spy,0.81,97,Traditional Rocket,High,,122
India,2017,Self-enabling stable open architecture,Unmanned,Robertfort,Communication,1.03,89,Traditional Rocket,Low,"UK, China",98
USA,2021,Compatible 4thgeneration benchmark,Manned,Ochoatown,Spy,14.36,96,Traditional Rocket,Medium,,331
USA,2004,Implemented leadingedge capability,Manned,Sotoborough,Navigation,7.06,91,Traditional Rocket,High,Russia,243
China,2020,Distributed explicit open architecture,Unmanned,Ryanshire,Weather,1.56,98,Traditional Rocket,High,"USA, Germany",337
China,2020,Reverse-engineered homogeneous attitude,Unmanned,Mendozaland,Communication,2.86,92,Traditional Rocket,Medium,"USA, India",129
India,2019,Persevering empowering methodology,Unmanned,Lake Danielview,Research,1.63,91,Traditional Rocket,Medium,USA,118
China,2016,Programmable 4thgeneration portal,Unmanned,New Shawn,Navigation,4.45,94,Traditional Rocket,Low,"Germany, India",269
France,2024,Cloned bandwidth-monitored firmware,Unmanned,Amandaborough,Communication,0.77,97,Traditional Rocket,Low,"France, Japan",198
France,2024,Triple-buffered leadingedge complexity,Unmanned,Michelleborough,Research,0.89,99,Reusable Rocket,Medium,"UK, Japan",138
UK,2021,Focused value-added definition,Unmanned,Port Michelleland,Communication,1.15,97,Reusable Rocket,Medium,"Germany, France",326
USA,2024,Operative uniform archive,Unmanned,Lake Thomas,Spy,10.63,99,Traditional Rocket,High,"USA, China, Russia",15
USA,2002,Customizable dynamic open system,Unmanned,Patrickfort,Weather,7.51,91,Traditional Rocket,Medium,Japan,165
Japan,2020,Function-based well-modulated time-frame,Unmanned,Port Zachary,Communication,0.57,97,Traditional Rocket,Low,"Russia, Germany",285
Japan,2022,Organic reciprocal middleware,Unmanned,South Trevorberg,Weather,0.26,99,Traditional Rocket,Low,USA,345
UK,2006,Face-to-face methodical Internet solution,Unmanned,Russellville,Communication,2.19,92,Traditional Rocket,Medium,Germany,208
India,2014,Down-sized high-level analyzer,Unmanned,Port Gary,Communication,1.27,88,Traditional Rocket,Very High,"Germany, China",20
USA,2020,Organized executive capability,Unmanned,Port Jeffrey,Weather,10.67,95,Traditional Rocket,Medium,"China, UK",342
India,2009,Cross-platform 5thgeneration productivity,Unmanned,Sharonfort,Communication,1.76,94,Traditional Rocket,Low,China,63
USA,2018,Centralized reciprocal complexity,Unmanned,South Dianeview,Spy,10.21,97,Traditional Rocket,High,"India, Germany",41
Germany,2023,Multi-lateral 5thgeneration system engine,Unmanned,New Brendaport,Navigation,0.68,100,Traditional Rocket,Low,"India, Russia",62
Russia,2012,Mandatory motivating Local Area Network,Unmanned,Steeleborough,Spy,0.45,98,Traditional Rocket,High,"Russia, China",356
Japan,2024,Upgradable human-resource system engine,Unmanned,Kennedyville,Navigation,0.16,99,Traditional Rocket,Low,"Germany, UK, USA",328
China,2020,Adaptive heuristic alliance,Unmanned,New Richardfort,Communication,10.09,93,Traditional Rocket,Low,"UK, India",132
India,2018,De-engineered mission-critical capability,Unmanned,Brettchester,Research,2.5,98,Traditional Rocket,Medium,UK,255
Germany,2000,User-friendly solution-oriented strategy,Unmanned,Deanton,Communication,1.41,95,Traditional Rocket,Medium,"Japan, India",37
India,2019,Secured neutral conglomeration,Unmanned,North Sarah,Navigation,2.54,100,Reusable Rocket,High,Germany,31
Russia,2008,Adaptive mobile emulation,Unmanned,Vanessaland,Spy,4.2,91,Traditional Rocket,High,Germany,34
China,2017,Upgradable interactive open system,Unmanned,West Tyronefort,Communication,4.74,92,Traditional Rocket,High,,296
Russia,2020,Extended tertiary instruction set,Unmanned,Patelview,Navigation,2.1,89,Traditional Rocket,High,"Germany, France",294
USA,2024,Synchronized dedicated array,Unmanned,Lake Elizabethland,Spy,8.31,95,Traditional Rocket,Low,India,271
China,2017,Optimized zero tolerance circuit,Unmanned,South Lisafurt,Navigation,2.09,93,Traditional Rocket,Medium,Germany,363
Russia,2012,Re-contextualized needs-based support,Unmanned,East Valerieland,Weather,4.35,93,Traditional Rocket,Low,Japan,63
France,2024,Virtual secondary database,Unmanned,New Kevinhaven,Weather,0.83,99,Reusable Rocket,Low,"Germany, India, UK",125
USA,2003,Customizable regional infrastructure,Unmanned,Jennifermouth,Communication,19.71,95,Traditional Rocket,Medium,UK,299
USA,2024,Polarized leadingedge archive,Unmanned,West Cassandra,Weather,6.52,91,Reusable Rocket,High,India,141
France,2001,Implemented even-keeled archive,Unmanned,Berrybury,Research,2.06,99,Traditional Rocket,Low,UK,153
Germany,2004,Stand-alone incremental hardware,Unmanned,South David,Spy,4.94,98,Traditional Rocket,Medium,India,278
Russia,2021,Automated regional product,Unmanned,West Sarahland,Communication,0.5,89,Traditional Rocket,High,"USA, China, France",313
UK,2000,Customer-focused heuristic Local Area Network,Unmanned,Guerraview,Communication,0.1,97,Traditional Rocket,Low,"Germany, USA, Japan",24
China,2009,Ameliorated mission-critical open architecture,Unmanned,North Nicholas,Spy,0.49,97,Traditional Rocket,High,,356
China,2008,Optimized zero-defect matrix,Unmanned,Lake Catherine,Weather,0.19,95,Traditional Rocket,High,"France, Japan",32
France,2022,Sharable 6thgeneration complexity,Unmanned,Frankport,Spy,0.64,100,Reusable Rocket,High,"UK, China",351
USA,2023,Exclusive fresh-thinking moratorium,Unmanned,Burnstown,Communication,2.36,97,Reusable Rocket,Medium,"UK, Germany, USA",88
China,2014,Public-key foreground software,Unmanned,West Darinberg,Communication,4.63,98,Traditional Rocket,High,USA,257
India,2017,Multi-layered optimizing workforce,Unmanned,East Paul,Spy,2.87,99,Traditional Rocket,Low,UK,326
India,2017,Programmable leadingedge emulation,Unmanned,Jeffreychester,Research,0.45,97,Traditional Rocket,Very High,"USA, China",262
France,2023,Intuitive user-facing moratorium,Unmanned,Thomaschester,Spy,0.32,92,Reusable Rocket,High,UK,2
Russia,2008,Monitored holistic Graphic Interface,Unmanned,Julieside,Spy,4.65,96,Traditional Rocket,Medium,"India, France",61
France,2010,Reduced user-facing instruction set,Unmanned,West Kevinport,Communication,3.65,96,Traditional Rocket,High,India,200
France,2023,Devolved secondary access,Unmanned,Parktown,Spy,0.05,91,Reusable Rocket,Low,"UK, Japan",297
Russia,2011,Optimized impactful circuit,Manned,Jamiebury,Communication,7.77,96,Traditional Rocket,High,India,20
Germany,2019,Public-key even-keeled algorithm,Unmanned,South Rebecca,Spy,2.63,99,Reusable Rocket,Low,"Japan, France",137
China,2021,Up-sized coherent info-mediaries,Unmanned,South Sarah,Research,2.51,96,Solar Propulsion,High,Russia,251
USA,2007,Business-focused zero tolerance function,Unmanned,Lake Natalieside,Communication,34.87,93,Traditional Rocket,Medium,"Germany, USA, France",45
France,2023,Vision-oriented executive focus group,Unmanned,Johnstad,Navigation,0.95,92,Reusable Rocket,Low,Germany,27
Japan,2021,Reduced even-keeled Internet solution,Unmanned,Stewartburgh,Weather,1.68,93,Solar Propulsion,Medium,"USA, France, Germany",334
UK,2023,Open-architected multimedia utilization,Unmanned,West Brian,Navigation,0.52,90,Reusable Rocket,Low,France,167
France,2021,Digitized system-worthy hierarchy,Unmanned,West Wayneport,Weather,0.12,97,Solar Propulsion,Low,"USA, China",161
India,2017,Seamless foreground toolset,Unmanned,Lake Christinaburgh,Communication,0.78,93,AI Navigation,High,,326
Japan,2016,Programmable exuding standardization,Unmanned,Caitlinstad,Communication,0.36,93,Traditional Rocket,Medium,,137
Japan,2018,Fundamental dedicated workforce,Unmanned,Williamstad,Communication,4.02,99,Traditional Rocket,Low,"Japan, Russia, UK",291
France,2021,Innovative global frame,Unmanned,New Timothyberg,Research,0.58,99,Traditional Rocket,High,"Japan, Russia",4
India,2023,Profit-focused impactful open architecture,Unmanned,Port Christine,Communication,1.09,100,Reusable Rocket,Medium,,261
UK,2022,Future-proofed analyzing challenge,Unmanned,New Christopherstad,Weather,1.29,98,Traditional Rocket,Medium,"India, Japan",323
UK,2000,Seamless tangible projection,Unmanned,Samanthaberg,Communication,0.37,90,Traditional Rocket,High,USA,247
USA,2001,Adaptive system-worthy leverage,Unmanned,Marcofort,Research,21.46,96,Traditional Rocket,High,,171
UK,2023,Inverse 24hour emulation,Unmanned,Hendrickshaven,Spy,0.59,100,Solar Propulsion,High,"Japan, China",352
USA,2002,Persevering foreground moratorium,Unmanned,North Saraview,Research,17.99,92,Traditional Rocket,Medium,"USA, France",196
UK,2000,Optional 5thgeneration strategy,Unmanned,Martinezshire,Navigation,0.02,94,Traditional Rocket,Low,"China, Germany",258
France,2021,Face-to-face coherent customer loyalty,Unmanned,West Michael,Spy,1.66,92,Traditional Rocket,High,UK,123
China,2017,Function-based human-resource hierarchy,Unmanned,Laurastad,Communication,5.03,95,Traditional Rocket,Medium,"UK, Japan",348
France,2016,Triple-buffered full-range collaboration,Unmanned,Lake Jamiemouth,Weather,2.76,91,Traditional Rocket,High,"China, India",344
France,2022,Devolved 3rdgeneration data-warehouse,Unmanned,Tabithaport,Spy,1.66,94,Traditional Rocket,Medium,France,213
France,2018,Front-line system-worthy process improvement,Unmanned,Brockchester,Communication,1.63,98,Traditional Rocket,High,China,332
USA,2017,Customer-focused cohesive circuit,Unmanned,Lambury,Research,29.36,96,Traditional Rocket,Medium,,333
Germany,2021,Exclusive multi-tasking contingency,Unmanned,Clarkfurt,Research,1.37,97,Reusable Rocket,Low,"China, UK",118
UK,2007,Progressive even-keeled forecast,Unmanned,Ryanburgh,Communication,1.19,89,Traditional Rocket,High,USA,284
Japan,2005,Open-source content-based Graphical User Interface,Unmanned,South Matthew,Weather,1.5,98,Traditional Rocket,High,"Russia, Germany",320
UK,2013,Customer-focused leadingedge emulation,Unmanned,South Suzannechester,Research,0.76,94,Traditional Rocket,Low,UK,117
USA,2021,Enhanced cohesive framework,Unmanned,Ashleymouth,Spy,8.68,92,Traditional Rocket,Low,,91
China,2013,Automated bandwidth-monitored Graphic Interface,Unmanned,Jasonshire,Communication,3.71,96,Traditional Rocket,High,"UK, Germany",108
India,2024,Future-proofed bi-directional open architecture,Unmanned,Trujilloborough,Weather,0.75,91,Reusable Rocket,Medium,India,332
Japan,2015,Integrated solution-oriented solution,Unmanned,Jamesbury,Weather,0.94,97,Traditional Rocket,Low,"China, UK",348
India,2002,User-centric leadingedge productivity,Unmanned,Port Kimberly,Research,1.31,95,Traditional Rocket,Medium,"India, Russia, Germany",110
USA,2021,Advanced incremental system engine,Unmanned,East Nancyside,Communication,3.61,90,Reusable Rocket,Medium,China,357
Japan,2024,Face-to-face intangible utilization,Unmanned,Fernandohaven,Weather,0.47,94,Reusable Rocket,Low,"Germany, Russia, China",275
France,2002,Seamless stable orchestration,Unmanned,New Brittanyburgh,Communication,3.11,94,Traditional Rocket,High,,346
France,2009,Configurable logistical hierarchy,Unmanned,New Jared,Weather,1.26,99,Traditional Rocket,High,India,122
Japan,2021,Diverse incremental task-force,Unmanned,Jeffreytown,Weather,1.91,94,Traditional Rocket,High,"France, USA",53
Japan,2024,Cross-platform web-enabled application,Unmanned,Kellyhaven,Communication,0.56,93,Traditional Rocket,Low,China,23
India,2022,Phased transitional framework,Unmanned,Porterfurt,Research,1.4,92,Traditional Rocket,Medium,"China, Japan, France",51
India,2019,Exclusive tertiary application,Unmanned,West Alexandramouth,Navigation,2.46,88,Traditional Rocket,Medium,Germany,22
UK,2020,Multi-lateral zero-defect time-frame,Unmanned,East Beth,Communication,0.83,93,Reusable Rocket,High,Germany,126
Russia,2002,Public-key composite challenge,Manned,Christianville,Research,0.91,97,Traditional Rocket,High,"Germany, India",85
France,2001,Mandatory demand-driven moderator,Unmanned,Lake Amanda,Research,1.63,95,Traditional Rocket,Low,France,74
UK,2023,Quality-focused multi-state database,Unmanned,East Christopherview,Research,0.82,98,Reusable Rocket,High,,345
USA,2013,Vision-oriented context-sensitive capability,Unmanned,Grossview,Research,32.7,92,Traditional Rocket,High,Germany,237
China,2009,Profit-focused actuating time-frame,Unmanned,Porterchester,Communication,0.12,91,Traditional Rocket,High,"USA, France",262
UK,2000,Monitored even-keeled solution,Unmanned,Samuelshire,Spy,0.21,88,Traditional Rocket,Low,"USA, Germany",224
USA,2012,Compatible hybrid encryption,Unmanned,Flynnland,Communication,0.93,98,Traditional Rocket,Medium,Russia,166
Japan,2019,Expanded disintermediate framework,Unmanned,East Patricia,Research,1.01,93,Traditional Rocket,Low,"Russia, Germany",177
USA,2023,Optimized grid-enabled hardware,Unmanned,Port Charles,Weather,10.78,90,Traditional Rocket,Low,,155
China,2023,Digitized client-driven analyzer,Unmanned,Lisaburgh,Navigation,2.88,91,Traditional Rocket,High,France,39
India,2020,Realigned 4thgeneration synergy,Unmanned,Burnsfort,Navigation,1.87,93,Traditional Rocket,Medium,"France, India",181
Germany,2009,Operative web-enabled toolset,Unmanned,Orozcoview,Navigation,12.48,95,Traditional Rocket,High,"Japan, Russia",125
Japan,2001,Integrated dedicated alliance,Unmanned,Port Beverly,Weather,2.06,100,Traditional Rocket,Low,"UK, India",346
USA,2013,Cloned fault-tolerant secured line,Unmanned,West Gerald,Spy,12.63,90,Traditional Rocket,High,Germany,101
France,2017,Robust zero tolerance flexibility,Unmanned,East Trevor,Research,1.66,91,Traditional Rocket,High,Germany,58
Japan,2014,Quality-focused homogeneous utilization,Unmanned,Karenmouth,Navigation,0.21,96,Traditional Rocket,Low,UK,331
